TIME,BTCBUSD
2021-03-03 00:19:53,48062.61
2021-03-03 00:19:54,48062.62
2021-03-03 00:19:55,48069.31
2021-03-03 00:19:56,48069.2
2021-03-03 00:19:57,48069.1
2021-03-03 00:19:58,48069.1
2021-03-03 00:19:59,48069.09
2021-03-03 00:20:00,48088.15
2021-03-03 00:20:01,48100.67
2021-03-03 00:20:02,48098.05
2021-03-03 00:20:03,48110.9
2021-03-03 00:20:04,48107.36
2021-03-03 00:20:05,48107.33
2021-03-03 00:20:06,48107.81
2021-03-03 00:20:07,48112.34
2021-03-03 00:20:08,48112.35
2021-03-03 00:20:09,48117.04
2021-03-03 00:20:10,48117.06
2021-03-03 00:20:11,48117.06
2021-03-03 00:20:12,48117.04
2021-03-03 00:20:13,48117.06
2021-03-03 00:20:14,48118.71
2021-03-03 00:20:15,48118.71
2021-03-03 00:20:16,48118.73
2021-03-03 00:20:17,48126.68
2021-03-03 00:20:18,48142.68
2021-03-03 00:20:19,48142.68
2021-03-03 00:20:20,48142.68
2021-03-03 00:20:21,48154.82
2021-03-03 00:20:22,48150.83
2021-03-03 00:20:23,48154.81
2021-03-03 00:20:24,48157.65
2021-03-03 00:20:25,48157.62
2021-03-03 00:20:26,48157.66
2021-03-03 00:20:27,48159.85
2021-03-03 00:20:28,48163.25
2021-03-03 00:20:29,48175.16
2021-03-03 00:20:30,48183.67
2021-03-03 00:20:31,48190.31
2021-03-03 00:20:32,48190.3
2021-03-03 00:20:33,48176.24
2021-03-03 00:20:34,48170.13
2021-03-03 00:20:35,48164.94
2021-03-03 00:20:36,48148.06
2021-03-03 00:20:37,48137.83
2021-03-03 00:20:38,48125.06
2021-03-03 00:20:39,48119.16
2021-03-03 00:20:40,48125.15
2021-03-03 00:20:41,48128.81
2021-03-03 00:20:42,48121.26
2021-03-03 00:20:43,48121.26
2021-03-03 00:20:44,48117.05
2021-03-03 00:20:45,48121.43
2021-03-03 00:20:46,48117.05
2021-03-03 00:20:47,48108.54
2021-03-03 00:20:48,48106.73
2021-03-03 00:20:49,48106.73
2021-03-03 00:20:50,48123.24
2021-03-03 00:20:51,48126.98
2021-03-03 00:20:52,48131.81
2021-03-03 00:20:53,48106.61
2021-03-03 00:20:54,48110.46
2021-03-03 00:20:55,48116.08
2021-03-03 00:20:56,48116.07
2021-03-03 00:20:57,48103.54
2021-03-03 00:20:58,48093.78
2021-03-03 00:20:59,48093.78
2021-03-03 00:21:00,48085.94
2021-03-03 00:21:01,48086.53
2021-03-03 00:21:02,48090.95
2021-03-03 00:21:03,48101.59
2021-03-03 00:21:04,48090.94
2021-03-03 00:21:05,48090.94
2021-03-03 00:21:06,48090.94
2021-03-03 00:21:07,48105.9
2021-03-03 00:21:08,48104.38
2021-03-03 00:21:09,48117.13
2021-03-03 00:21:10,48107.87
2021-03-03 00:21:11,48107.87
2021-03-03 00:21:12,48097.13
2021-03-03 00:21:13,48097.13
2021-03-03 00:21:14,48109.0
2021-03-03 00:21:15,48128.94
2021-03-03 00:21:16,48133.69
2021-03-03 00:21:17,48131.3
2021-03-03 00:21:18,48131.3
2021-03-03 00:21:19,48128.18
2021-03-03 00:21:20,48128.18
2021-03-03 00:21:21,48133.76
2021-03-03 00:21:22,48144.67
2021-03-03 00:21:23,48152.6
2021-03-03 00:21:24,48151.62
2021-03-03 00:21:25,48151.62
2021-03-03 00:21:26,48154.05
2021-03-03 00:21:27,48154.05
2021-03-03 00:21:28,48140.6
2021-03-03 00:21:29,48146.77
2021-03-03 00:21:30,48147.91
2021-03-03 00:21:31,48155.02
2021-03-03 00:21:32,48155.01
2021-03-03 00:21:33,48155.01
2021-03-03 00:21:34,48168.63
2021-03-03 00:21:35,48171.23
2021-03-03 00:21:36,48163.23
2021-03-03 00:21:37,48155.95
2021-03-03 00:21:38,48157.65
2021-03-03 00:21:39,48150.44
2021-03-03 00:21:40,48157.65
2021-03-03 00:21:41,48163.08
2021-03-03 00:21:42,48163.08
2021-03-03 00:21:43,48126.04
2021-03-03 00:21:44,48126.04
2021-03-03 00:21:45,48126.04
2021-03-03 00:21:46,48130.07
2021-03-03 00:21:47,48118.63
2021-03-03 00:21:48,48118.63
2021-03-03 00:21:49,48118.63
2021-03-03 00:21:50,48116.09
2021-03-03 00:21:51,48121.99
2021-03-03 00:21:52,48119.23
2021-03-03 00:21:53,48119.19
2021-03-03 00:21:54,48116.09
2021-03-03 00:21:55,48116.09
2021-03-03 00:21:56,48116.09
2021-03-03 00:21:57,48116.09
2021-03-03 00:21:58,48116.09
2021-03-03 00:21:59,48116.09
2021-03-03 00:22:00,48118.42
2021-03-03 00:22:01,48117.52
2021-03-03 00:22:02,48117.52
2021-03-03 00:22:03,48126.04
2021-03-03 00:22:04,48126.03
2021-03-03 00:22:05,48126.03
2021-03-03 00:22:06,48124.42
2021-03-03 00:22:07,48124.42
2021-03-03 00:22:08,48142.07
2021-03-03 00:22:09,48147.66
2021-03-03 00:22:10,48143.93
2021-03-03 00:22:11,48137.87
2021-03-03 00:22:12,48136.76
2021-03-03 00:22:13,48136.76
2021-03-03 00:22:14,48155.42
2021-03-03 00:22:15,48159.94
2021-03-03 00:22:16,48157.52
2021-03-03 00:22:17,48154.76
2021-03-03 00:22:18,48152.43
